,file_name,mean,std,min,max
272,202308191950.nc,0.1874911,1.3952111,0.0,99.7
273,202306281710.nc,2.3549232,9.9815,0.0,99.7
274,202307011310.nc,0.41365802,2.396924,0.0,97.89
275,202208211930.nc,1.184377,7.0062323,0.0,89.74
276,202209032220.nc,1.6161264,3.093451,0.0,99.32
277,202206221210.nc,0.5776723,2.3703718,0.0,90.939995
278,202207171900.nc,0.5976419,2.892597,0.0,99.7
279,202106081010.nc,0.4178866,1.3690387,0.0,81.21
280,202306252150.nc,0.685668,2.1758235,0.0,99.7
281,202106190310.nc,0.46755776,1.4433484,0.0,99.4
282,202107081040.nc,1.6372198,5.6933947,0.0,99.11
283,202206090240.nc,0.24498104,0.8258782,0.0,97.049995
284,202208110340.nc,0.6698832,2.3170757,0.0,99.7
285,202207290740.nc,0.8438813,3.3398225,0.0,99.7
286,202208030910.nc,0.26758477,1.4439993,0.0,99.259995
287,202107281900.nc,0.5993276,3.0732477,0.0,99.4
288,202308192220.nc,0.19305645,1.1604503,0.0,98.92
289,202307282020.nc,0.42188573,1.5790713,0.0,96.939995
290,202208111700.nc,0.23787984,1.6326361,0.0,93.54
291,202208152130.nc,0.6933422,3.8048918,0.0,99.7
292,202207051340.nc,1.3021154,5.575684,0.0,96.4
293,202106201450.nc,0.27904734,0.8138742,0.0,99.479996
294,202107302120.nc,0.42473307,2.1860926,0.0,95.909996
295,202308281650.nc,0.55010206,1.8088624,0.0,99.7
296,202107070340.nc,1.2264584,6.181871,0.0,99.43
297,202106070010.nc,0.3810863,1.031453,0.0,93.909996
298,202106221340.nc,0.23182832,0.96510506,0.0,99.479996
299,202107212030.nc,0.35412475,1.0683004,0.0,82.64
300,202308121840.nc,0.18592839,1.2232298,0.0,98.1
301,202106221910.nc,0.21528037,0.74784046,0.0,77.759995
302,202106112120.nc,0.73227566,2.3638387,0.0,99.479996
303,202106170950.nc,0.7735229,2.0452871,0.0,94.67
304,202106040420.nc,0.54760027,1.7109475,0.0,99.32
305,202306100130.nc,0.7382907,1.9034661,0.0,99.7
306,202307071700.nc,0.6208727,3.251462,0.0,99.15
307,202308030430.nc,0.13626158,1.117914,0.0,98.92
308,202206241230.nc,0.22265872,1.4144322,0.0,97.759995
309,202307292140.nc,0.45174918,1.3743371,0.0,97.49
310,202308190220.nc,0.13716514,1.5357722,0.0,98.869995
311,202208091550.nc,0.5092947,2.61991,0.0,99.7
312,202307251200.nc,0.17108476,0.81356055,0.0,85.6
313,202206280850.nc,0.518863,1.7707554,0.0,99.7
314,202206230220.nc,1.2547398,4.570855,0.0,98.1
315,202307272030.nc,0.27172065,1.1972167,0.0,99.7
316,202308140850.nc,0.33823782,1.9010159,0.0,99.7
317,202308141500.nc,0.21152139,1.3744625,0.0,97.2
318,202307020500.nc,0.62303036,2.6510868,0.0,98.909996
319,202206211210.nc,0.42625782,1.3821743,0.0,97.97
320,202206170320.nc,0.44814622,1.832141,0.0,98.99
321,202209041250.nc,1.5675298,3.9158654,0.0,98.47
322,202107131500.nc,0.47782704,3.3902645,0.0,99.14
323,202106170750.nc,0.7728033,2.338325,0.0,89.52
324,202307070340.nc,1.0167164,4.2543364,0.0,98.1
325,202106151910.nc,0.6963804,2.0719726,0.0,88.35
326,202308200110.nc,0.10961385,1.3511205,0.0,96.689995
327,202208110240.nc,0.8511376,4.0624156,0.0,99.31
328,202107291700.nc,0.35890847,1.108297,0.0,95.47
